caldt	vwretd	time
20011010	0.02280263	444
20011011	0.01511964	445
20011012	-0.005001524	446
20011015	-0.001162216	447
20011016	0.007020331	448
20011017	-0.01885993	449
20011018	-0.007235912	450
20011019	0.004646867	451
20011022	0.01531833	452
20011023	-0.00487811	453
20011024	0.000412153	454
20011025	0.01386152	455
20011026	0.003953931	456
20011029	-0.0237674	457
20011030	-0.01716893	458
20011031	3.93384E-05	459
20011101	0.02306315	460
20011102	0.003037889	461
20011105	0.01445197	462
20011106	0.01467782	463
20011107	-0.002382196	464
20011108	0.002336903	465
20011109	0.001478338	466
20011112	-0.001631078	467
20011113	0.01869747	468
20011114	0.002471834	469
20011115	0.001130063	470
20011116	-0.003265812	471
20011119	0.01084536	472
20011120	-0.007236183	473
20011121	-0.00485256	474
20011123	0.01167576	475
20011126	0.006319694	476
20011127	-0.006856153	477
20011128	-0.01802311	478
20011129	0.01050314	479
20011130	-0.000662999	480
20011203	-0.00846332	481
20011204	0.01320202	482
20011205	0.0226909	483
20011206	-0.002597815	484
20011207	-0.007555475	485
20011210	-0.01573755	486
20011211	-0.002868232	487
20011212	0.000495796	488
20011213	-0.01553929	489
20011214	0.003272535	490
20011217	0.01013527	491
20011218	0.00770941	492
20011219	0.0060007	493
20011220	-0.008195109	494
20011221	0.004234923	495
20011224	-0.000286912	496
20011226	0.004121302	497
20011227	0.006948529	498
20011228	0.003305765	499
20011231	-0.01111616	500
20020102	0.005897521	501
20020103	0.009306176	502
20020104	0.006247209	503
20020107	-0.006476254	504
20020108	-0.003317644	505
20020109	-0.004712541	506
20020110	0.001232204	507
20020111	-0.009368204	508
20020114	-0.006208712	509
20020115	0.006757915	510
20020116	-0.01641524	511
20020117	0.01041403	512
20020118	-0.009909282	513
20020122	-0.007227254	514
20020123	0.007627563	515
20020124	0.003452288	516
20020125	0.001021008	517
20020128	-0.000206615	518
20020129	-0.02860597	519
20020130	0.01189235	520
20020131	0.01506076	521
20020201	-0.007371228	522
20020204	-0.02455055	523
20020205	-0.003882179	524
20020206	-0.006016441	525
20020207	-0.002897244	526
20020208	0.01495474	527
20020211	0.01435367	528
20020212	-0.003956456	529
20020213	0.01034012	530
20020214	-0.00170695	531
20020215	-0.01107668	532
20020219	-0.01881007	533
20020220	0.01375724	534
20020221	-0.01556589	535
20020222	0.007934413	536
20020225	0.01806931	537
20020226	2.06E-06	538
20020227	0.000890342	539
20020228	-0.002857989	540
20020301	0.022751	541
20020304	0.01957564	542
20020305	-0.006701178	543
20020306	0.01459786	544
20020307	-0.004532864	545
20020308	0.005946077	546
20020311	0.00325877	547
20020312	-0.002261489	548
20020313	-0.009668674	549
20020314	-0.000854123	550
20020315	0.01143096	551
20020318	-0.000649635	552
20020319	0.004116626	553
20020320	-0.01579591	554
20020321	0.001608409	555
20020322	-0.004151433	556
20020325	-0.01466629	557
20020326	0.006045632	558
20020327	0.005254255	559
20020328	0.002582984	560
20020401	-0.000998644	561
20020402	-0.008658189	562
20020403	-0.009776458	563
20020404	0.000999744	564
20020405	-0.003191937	565
20020408	0.00252958	566
20020409	-0.006702148	567
20020410	0.01144242	568
20020411	-0.02370966	569
20020412	0.006875703	570
20020415	-0.007852761	571
20020416	0.02334497	572
20020417	-0.002028482	573
20020418	-0.001397762	574
20020419	0.000538623	575
20020422	-0.01542207	576
20020423	-0.00612257	577
20020424	-0.007063129	578
20020425	-0.001516887	579
20020426	-0.01381821	580
20020429	-0.01014062	581
20020430	0.01084679	582
20020501	0.008924599	583
20020502	-0.001734033	584
20020503	-0.01045156	585
20020506	-0.01945052	586
20020507	-0.002951842	587
20020508	0.03778815	588
20020509	-0.01446028	589
20020510	-0.01682119	590
20020513	0.01867916	591
20020514	0.02127647	592
20020515	-0.005371524	593
