caldt	vwretd	time
20060828	0.005289772	417
20060829	0.002223091	418
20060830	0.000461579	419
20060831	-0.000227686	420
20060901	0.005495203	421
20060905	0.001805111	422
20060906	-0.009615549	423
20060907	-0.004711622	424
20060908	0.003971976	425
20060911	0.000628571	426
20060912	0.01046238	427
20060913	0.004132384	428
20060914	-0.001122662	429
20060915	0.002669652	430
20060918	0.000979243	431
20060919	-0.002128807	432
20060920	0.005367776	433
20060921	-0.005157581	434
20060922	-0.002551922	435
20060925	0.008746117	436
20060926	0.00751585	437
20060927	0.000457691	438
20060928	0.001995937	439
20060929	-0.002544901	440
20061002	-0.003403567	441
20061003	0.002115726	442
20061004	0.01218594	443
20061005	0.002456142	444
20061006	-0.002665611	445
20061009	0.000846414	446
20061010	0.002046113	447
20061011	-0.002460864	448
20061012	0.009523392	449
20061013	0.001994976	450
20061016	0.002564558	451
20061017	-0.003708059	452
20061018	0.001526221	453
20061019	0.000658326	454
20061020	0.001426395	455
20061023	0.006463726	456
20061024	0.00029128	457
20061025	0.003274467	458
20061026	0.005139828	459
20061027	-0.00841878	460
20061030	0.000385974	461
20061031	-0.00001559	462
20061101	-0.0071399	463
20061102	-0.000248195	464
20061103	-0.00231552	465
20061106	0.01124507	466
20061107	0.002233321	467
20061108	0.002312096	468
20061109	-0.005221791	469
20061110	0.001825298	470
20061113	0.002815932	471
20061114	0.00654765	472
20061115	0.002726553	473
20061116	0.002254434	474
20061117	0.00098883	475
20061120	-0.000425234	476
20061121	0.001687817	477
20061122	0.002670184	478
20061124	-0.003609541	479
20061127	-0.01377657	480
20061128	0.003563788	481
20061129	0.009595292	482
20061130	0.0007964	483
20061201	-0.003009446	484
20061204	0.009024844	485
20061205	0.00400076	486
20061206	-0.001066332	487
20061207	-0.003948912	488
20061208	0.001851231	489
20061211	0.002280225	490
20061212	-0.001100122	491
20061213	0.001397597	492
20061214	0.008790425	493
20061215	0.001106626	494
20061218	-0.003342866	495
20061219	0.002107458	496
20061220	-0.001368087	497
20061221	-0.003450622	498
20061222	-0.005151159	499
20061226	0.004358107	500
20061227	0.007190931	501
20061228	-0.001447895	502
20061229	-0.004455386	503
