DATE	EXHKUS	LAGEXHK
5-Mar-07	7.8149	7.8146
6-Mar-07	7.8151	7.8149
7-Mar-07	7.8177	7.8151
8-Mar-07	7.8129	7.8177
9-Mar-07	7.8141	7.8129
12-Mar-07	7.8143	7.8141
13-Mar-07	7.8154	7.8143
14-Mar-07	7.8148	7.8154
15-Mar-07	7.8116	7.8148
16-Mar-07	7.8108	7.8116
19-Mar-07	7.8124	7.8108
20-Mar-07	7.8124	7.8124
21-Mar-07	7.8107	7.8124
22-Mar-07	7.8093	7.8107
23-Mar-07	7.8105	7.8093
26-Mar-07	7.8130	7.8105
27-Mar-07	7.8130	7.8130
28-Mar-07	7.8139	7.8130
29-Mar-07	7.8127	7.8139
30-Mar-07	7.8137	7.8127
